"","state","date","confirmed","deaths","recovered","type"
"327","Northern Territory",2020-03-02,0,0,0,"cumulative"
"328","Australian Capital Territory",2020-03-02,0,0,0,"cumulative"
"329","New South Wales",2020-03-03,13,0,4,"cumulative"
"330","Victoria",2020-03-03,9,0,4,"cumulative"
"331","Queensland",2020-03-03,11,0,1,"cumulative"
"332","South Australia",2020-03-03,3,0,2,"cumulative"
"333","Western Australia",2020-03-03,2,1,0,"cumulative"
"334","Tasmania",2020-03-03,1,0,0,"cumulative"
"335","Northern Territory",2020-03-03,0,0,0,"cumulative"
"336","Australian Capital Territory",2020-03-03,0,0,0,"cumulative"
"337","New South Wales",2020-03-04,22,1,4,"cumulative"
"338","Victoria",2020-03-04,10,0,4,"cumulative"
"339","Queensland",2020-03-04,11,0,1,"cumulative"
"340","South Australia",2020-03-04,5,0,2,"cumulative"
"341","Western Australia",2020-03-04,2,1,0,"cumulative"
"342","Tasmania",2020-03-04,1,0,0,"cumulative"
"343","Northern Territory",2020-03-04,1,0,0,"cumulative"
"344","Australian Capital Territory",2020-03-04,0,0,0,"cumulative"
"345","New South Wales",2020-03-05,22,1,4,"cumulative"
"346","Victoria",2020-03-05,10,0,7,"cumulative"
"347","Queensland",2020-03-05,13,0,8,"cumulative"
"348","South Australia",2020-03-05,5,0,2,"cumulative"
"349","Western Australia",2020-03-05,3,1,0,"cumulative"
"350","Tasmania",2020-03-05,1,0,0,"cumulative"
"351","Northern Territory",2020-03-05,1,0,0,"cumulative"
"352","Australian Capital Territory",2020-03-05,0,0,0,"cumulative"
"353","New South Wales",2020-03-06,26,1,4,"cumulative"
"354","Victoria",2020-03-06,10,0,7,"cumulative"
"355","Queensland",2020-03-06,13,0,8,"cumulative"
"356","South Australia",2020-03-06,7,0,2,"cumulative"
"357","Western Australia",2020-03-06,3,1,0,"cumulative"
"358","Tasmania",2020-03-06,1,0,0,"cumulative"
"359","Northern Territory",2020-03-06,0,0,0,"cumulative"
"360","Australian Capital Territory",2020-03-06,0,0,0,"cumulative"
"361","New South Wales",2020-03-07,28,1,4,"cumulative"
"362","Victoria",2020-03-07,11,0,7,"cumulative"
"363","Queensland",2020-03-07,13,0,8,"cumulative"
"364","South Australia",2020-03-07,7,0,2,"cumulative"
"365","Western Australia",2020-03-07,3,1,0,"cumulative"
"366","Tasmania",2020-03-07,1,0,0,"cumulative"
"367","Northern Territory",2020-03-07,0,0,0,"cumulative"
"368","Australian Capital Territory",2020-03-07,0,0,0,"cumulative"
"369","New South Wales",2020-03-08,38,2,4,"cumulative"
"370","Victoria",2020-03-08,11,0,7,"cumulative"
"371","Queensland",2020-03-08,15,0,8,"cumulative"
"372","South Australia",2020-03-08,7,0,2,"cumulative"
"373","Western Australia",2020-03-08,3,1,0,"cumulative"
"374","Tasmania",2020-03-08,2,0,0,"cumulative"
"375","Northern Territory",2020-03-08,0,0,0,"cumulative"
"376","Australian Capital Territory",2020-03-08,0,0,0,"cumulative"
"377","New South Wales",2020-03-09,48,2,4,"cumulative"
"378","Victoria",2020-03-09,15,0,7,"cumulative"
"379","Queensland",2020-03-09,15,0,8,"cumulative"
"380","South Australia",2020-03-09,7,0,2,"cumulative"
"381","Western Australia",2020-03-09,4,1,0,"cumulative"
"382","Tasmania",2020-03-09,2,0,0,"cumulative"
"383","Northern Territory",2020-03-09,0,0,0,"cumulative"
"384","Australian Capital Territory",2020-03-09,0,0,0,"cumulative"
"385","New South Wales",2020-03-10,55,2,4,"cumulative"
"386","Victoria",2020-03-10,18,0,7,"cumulative"
"387","Queensland",2020-03-10,18,0,8,"cumulative"
"388","South Australia",2020-03-10,7,0,2,"cumulative"
"389","Western Australia",2020-03-10,6,1,0,"cumulative"
"390","Tasmania",2020-03-10,2,0,0,"cumulative"
"391","Northern Territory",2020-03-10,1,0,0,"cumulative"
"392","Australian Capital Territory",2020-03-10,0,0,0,"cumulative"
"393","New South Wales",2020-03-11,65,2,4,"cumulative"
"394","Victoria",2020-03-11,21,0,7,"cumulative"
"395","Queensland",2020-03-11,20,0,8,"cumulative"
"396","South Australia",2020-03-11,9,0,2,"cumulative"
"397","Western Australia",2020-03-11,9,1,0,"cumulative"
"398","Tasmania",2020-03-11,3,0,0,"cumulative"
"399","Northern Territory",2020-03-11,1,0,0,"cumulative"
"400","Australian Capital Territory",2020-03-11,0,0,0,"cumulative"
"401","New South Wales",2020-03-12,65,2,4,"cumulative"
"402","Victoria",2020-03-12,21,0,7,"cumulative"
"403","Queensland",2020-03-12,20,0,8,"cumulative"
"404","South Australia",2020-03-12,9,0,2,"cumulative"
"405","Western Australia",2020-03-12,9,1,0,"cumulative"
"406","Tasmania",2020-03-12,3,0,0,"cumulative"
"407","Northern Territory",2020-03-12,1,0,0,"cumulative"
"408","Australian Capital Territory",2020-03-12,0,0,0,"cumulative"
"409","New South Wales",2020-03-13,92,2,4,"cumulative"
"410","Victoria",2020-03-13,36,0,8,"cumulative"
"411","Queensland",2020-03-13,35,0,8,"cumulative"
"412","South Australia",2020-03-13,16,0,3,"cumulative"
"413","Western Australia",2020-03-13,14,1,0,"cumulative"
"414","Tasmania",2020-03-13,5,0,0,"cumulative"
"415","Northern Territory",2020-03-13,1,0,0,"cumulative"
"416","Australian Capital Territory",2020-03-13,1,0,0,"cumulative"
"417","New South Wales",2020-03-14,112,2,4,"cumulative"
"418","Victoria",2020-03-14,49,0,8,"cumulative"
"419","Queensland",2020-03-14,46,0,8,"cumulative"
"420","South Australia",2020-03-14,19,0,3,"cumulative"
"421","Western Australia",2020-03-14,17,1,0,"cumulative"
"422","Tasmania",2020-03-14,5,0,0,"cumulative"
"423","Northern Territory",2020-03-14,1,0,0,"cumulative"
"424","Australian Capital Territory",2020-03-14,1,0,0,"cumulative"
"425","New South Wales",2020-03-15,134,2,4,"cumulative"
"426","Victoria",2020-03-15,57,0,8,"cumulative"
"427","Queensland",2020-03-15,61,0,8,"cumulative"
"428","South Australia",2020-03-15,20,0,3,"cumulative"
"429","Western Australia",2020-03-15,17,1,0,"cumulative"
"430","Tasmania",2020-03-15,6,0,0,"cumulative"
"431","Northern Territory",2020-03-15,1,0,0,"cumulative"
"432","Australian Capital Territory",2020-03-15,1,0,0,"cumulative"
"433","New South Wales",2020-03-16,171,2,4,"cumulative"
"434","Victoria",2020-03-16,71,0,8,"cumulative"
"435","Queensland",2020-03-16,68,0,8,"cumulative"
"436","South Australia",2020-03-16,29,0,3,"cumulative"
"437","Western Australia",2020-03-16,28,1,0,"cumulative"
"438","Tasmania",2020-03-16,7,0,0,"cumulative"
"439","Northern Territory",2020-03-16,1,0,0,"cumulative"
"440","Australian Capital Territory",2020-03-16,2,0,0,"cumulative"
"441","New South Wales",2020-03-17,210,4,4,"cumulative"
"442","Victoria",2020-03-17,94,0,8,"cumulative"
"443","Queensland",2020-03-17,78,0,8,"cumulative"
"444","South Australia",2020-03-17,29,0,3,"cumulative"
"445","Western Australia",2020-03-17,31,1,0,"cumulative"
"446","Tasmania",2020-03-17,7,0,0,"cumulative"
"447","Northern Territory",2020-03-17,1,0,0,"cumulative"
"448","Australian Capital Territory",2020-03-17,2,0,0,"cumulative"
"449","New South Wales",2020-03-18,267,5,4,"cumulative"
"450","Victoria",2020-03-18,121,0,8,"cumulative"
"451","Queensland",2020-03-18,94,0,8,"cumulative"
"452","South Australia",2020-03-18,37,0,3,"cumulative"
"453","Western Australia",2020-03-18,35,1,0,"cumulative"
"454","Tasmania",2020-03-18,10,0,0,"cumulative"
"455","Northern Territory",2020-03-18,1,0,0,"cumulative"
"456","Australian Capital Territory",2020-03-18,3,0,0,"cumulative"
"457","New South Wales",2020-03-19,307,5,4,"cumulative"
"458","Victoria",2020-03-19,121,0,8,"cumulative"
"459","Queensland",2020-03-19,144,0,8,"cumulative"
"460","South Australia",2020-03-19,42,0,3,"cumulative"
"461","Western Australia",2020-03-19,52,1,0,"cumulative"
"462","Tasmania",2020-03-19,10,0,3,"cumulative"
"463","Northern Territory",2020-03-19,1,0,0,"cumulative"
"464","Australian Capital Territory",2020-03-19,4,0,0,"cumulative"
"465","New South Wales",2020-03-20,353,6,4,"cumulative"
"466","Victoria",2020-03-20,121,0,8,"cumulative"
"467","Queensland",2020-03-20,184,0,8,"cumulative"
"468","South Australia",2020-03-20,50,0,3,"cumulative"
"469","Western Australia",2020-03-20,64,1,0,"cumulative"
"470","Tasmania",2020-03-20,10,0,3,"cumulative"
"471","Northern Territory",2020-03-20,3,0,0,"cumulative"
"472","Australian Capital Territory",2020-03-20,6,0,0,"cumulative"
"473","New South Wales",2020-03-21,436,6,4,"cumulative"
"474","Victoria",2020-03-21,229,0,8,"cumulative"
